[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_template ] --END-- [ RunTime:0.003854s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_parse ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | NOTIC: [8] Undefined index: name 051e48d3ff634c6d0995e3f866f8b729.php 第 12 行.
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run ParseTemplate Behavior [ RunTime:0.027321s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027545s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_filter ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run ContentReplace Behavior [ RunTime:0.001973s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run TokenBuild Behavior [ RunTime:0.001881s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001545s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run ShowRuntime Behavior [ RunTime:0.002164s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008177s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_end ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run ShowPageTrace Behavior [ RunTime:0.002041s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_end ] --END-- [ RunTime:0.002256s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ route_check ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run CheckRoute Behavior [ RunTime:0.003038s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.003295s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ app_begin ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002212s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run CheckLang Behavior [ RunTime:0.003564s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006171s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | SQL: SHOW COLUMNS FROM `think_menu` [ RunTime:0.011829s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_template ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.003633s ]
